id,name,type,shipping_province_id
69,Bima,Kota,22
118,Dompu,Kabupaten,22
238,Lombok Barat,Kabupaten,22
239,Lombok Tengah,Kabupaten,22
240,Lombok Timur,Kabupaten,22
241,Lombok Utara,Kabupaten,22
276,Mataram,Kota,22
438,Sumbawa,Kabupaten,22
439,Sumbawa Barat,Kabupaten,22
13,Alor,Kabupaten,23
58,Belu,Kabupaten,23
122,Ende,Kabupaten,23
125,Flores Timur,Kabupaten,23
212,Kupang,Kabupaten,23
213,Kupang,Kota,23
234,Lembata,Kabupaten,23
269,Manggarai,Kabupaten,23
270,Manggarai Barat,Kabupaten,23
271,Manggarai Timur,Kabupaten,23
301,Nagekeo,Kabupaten,23
304,Ngada,Kabupaten,23
383,Rote Ndao,Kabupaten,23
385,Sabu Raijua,Kabupaten,23
412,Sikka,Kabupaten,23
434,Sumba Barat,Kabupaten,23
435,Sumba Barat Daya,Kabupaten,23
436,Sumba Tengah,Kabupaten,23
437,Sumba Timur,Kabupaten,23
479,Timor Tengah Selatan,Kabupaten,23
480,Timor Tengah Utara,Kabupaten,23
16,Asmat,Kabupaten,24
67,Biak Numfor,Kabupaten,24
90,Boven Digoel,Kabupaten,24
111,Deiyai (Deliyai),Kabupaten,24
117,Dogiyai,Kabupaten,24
150,Intan Jaya,Kabupaten,24
157,Jayapura,Kabupaten,24
158,Jayapura,Kota,24
159,Jayawijaya,Kabupaten,24
180,Keerom,Kabupaten,24
193,Kepulauan Yapen (Yapen Waropen),Kabupaten,24
231,Lanny Jaya,Kabupaten,24
263,Mamberamo Raya,Kabupaten,24
264,Mamberamo Tengah,Kabupaten,24
274,Mappi,Kabupaten,24
281,Merauke,Kabupaten,24
284,Mimika,Kabupaten,24
299,Nabire,Kabupaten,24
303,Nduga,Kabupaten,24
335,Paniai,Kabupaten,24
347,Pegunungan Bintang,Kabupaten,24
373,Puncak,Kabupaten,24
374,Puncak Jaya,Kabupaten,24
392,Sarmi,Kabupaten,24
443,Supiori,Kabupaten,24
484,Tolikara,Kabupaten,24
495,Waropen,Kabupaten,24
499,Yahukimo,Kabupaten,24
500,Yalimo,Kabupaten,24
124,Fakfak,Kabupaten,25
165,Kaimana,Kabupaten,25
272,Manokwari,Kabupaten,25
273,Manokwari Selatan,Kabupaten,25
277,Maybrat,Kabupaten,25
346,Pegunungan Arfak,Kabupaten,25
378,Raja Ampat,Kabupaten,25
424,Sorong,Kabupaten,25
425,Sorong,Kota,25
426,Sorong Selatan,Kabupaten,25
449,Tambrauw,Kabupaten,25
474,Teluk Bintuni,Kabupaten,25
