urban,sub_district,city,postal_code,province_code
KERTAK BARU ULU,BANJARMASIN TENGAH,BANJARMASIN,70111,63
KERTAK EMPAT,PENGARON,BANJAR,70674,63
KERTAK HANYAR I,KERTAK HANYAR,BANJAR,70654,63
KERTAKHANYAR II,KERTAK HANYAR,BANJAR,70654,63
KETAPANG,BAJUIN,TANAH LAUT,70815,63
KETAPANG,BAKARANGAN,TAPIN,71152,63
KIAS,BATANG ALAI SELATAN,HULU SUNGAI TENGAH,71381,63
KINARUM,UPAU,TABALONG,71575,63
KINDINGAN,HANTAKAN,HULU SUNGAI TENGAH,71372,63
KINTAP KECIL,KINTAP,TANAH LAUT,70883,63
KINTAP PURA (KINTAPURA),KINTAP,TANAH LAUT,70883,63
KINTAP,KINTAP,TANAH LAUT,70883,63
KIRAM,KARANG INTAN,BANJAR,70661,63
KITANG,TANJUNG,TABALONG,71515,63
KOANDA,TAMBAN,BARITO KUALA,70566,63
KOLAM KANAN,WANARAYA,BARITO KUALA,70562,63
KOLAM KIRI DALAM,BARAMBAI,BARITO KUALA,70562,63
KOLAM KIRI,WANARAYA,BARITO KUALA,70562,63
KOLAM MAKMUR,WANARAYA,BARITO KUALA,70562,63
KOMET,BANJAR BARU UTARA,BANJARBARU,70714,63
KOTA PAGATAN,KUSAN HILIR,TANAH BUMBU,72273,63
KOTA RADEN HILIR,AMUNTAI TENGAH,HULU SUNGAI UTARA,71419,63
KOTA RADEN HULU,AMUNTAI TENGAH,HULU SUNGAI UTARA,71419,63
KOTA RAJA,AMUNTAI SELATAN,HULU SUNGAI UTARA,71452,63
KOTABARU HILIR,PULAU LAUT UTARA,KOTABARU,72111,63
KOTABARU HULU,PULAU LAUT UTARA,KOTABARU,72114,63
KOTABARU TENGAH,PULAU LAUT UTARA,KOTABARU,72113,63
KUALA LUPAK,TABUNGANEN,BARITO KUALA,70567,63
KUALA TAMBANGAN,TAKISUNG,TANAH LAUT,70861,63
KUANGAN,AMUNTAI UTARA,HULU SUNGAI UTARA,71471,63
KUIN BESAR,ALUH-ALUH,BANJAR,70655,63
KUIN CERUCUK,BANJARMASIN BARAT,BANJARMASIN,70129,63
KUIN KECIL,ALUH-ALUH,BANJAR,70655,63
KUIN SELATAN,BANJARMASIN BARAT,BANJARMASIN,70128,63
KUIN UTARA,BANJARMASIN UTARA,BANJARMASIN,70127,63
KULIPAK,PULAU LAUT TIMUR,KOTABARU,72152,63
KUNYIT,BAJUIN,TANAH LAUT,70815,63
KUPANG NUNDING,MUARA UYA,TABALONG,71573,63
KUPANG REJO,SEI / SUNGAI PINANG,BANJAR,70675,63
KUPANG SAMHURANG,LABUAN AMAS UTARA,HULU SUNGAI TENGAH,71362,63
KUPANG,LAMPIHONG,BALANGAN,71661,63
KUPANG,TAPIN UTARA,TAPIN,71113,63
KURANJI,KURANJI,TANAH BUMBU,72272,63
KURAU UTARA,BUMI MAKMUR,TANAH LAUT,70853,63
KURAU,KURAU,TANAH LAUT,70853,63
KURINGKIT,PANYIPATAN,TANAH LAUT,70871,63
KURIPAN,BANJARMASIN TIMUR,BANJARMASIN,70236,63
KURIPAN,KURIPAN,BARITO KUALA,70552,63
KUSAMBI HILIR,LAMPIHONG,BALANGAN,71661,63
KUSAMBI HULU,LAMPIHONG,BALANGAN,71661,63
KUSAMBI,BATULICIN,TANAH BUMBU,72214,63
KUTAI KECIL,AMUNTAI SELATAN,HULU SUNGAI UTARA,71452,63
LABAT MUARA,ALUH-ALUH,BANJAR,70655,63
LABUAN BARAT,PULAU SEMBILAN,KOTABARU,72181,63
LABUAN MAS,PULAU LAUT SELATAN,KOTABARU,72154,63
LABUAN TABU,MARTAPURA KOTA,BANJAR,70619,63
LABUHAN,BATANG ALAI SELATAN,HULU SUNGAI TENGAH,71381,63
LABUNG,TAPIN TENGAH,TAPIN,71161,63
LABUNGANAK,BATANG ALAI UTARA,HULU SUNGAI TENGAH,71391,63
LABURAN,KELUMPANG HULU,KOTABARU,72162,63
LAJAR,LAMPIHONG,BALANGAN,71661,63
LALAPIN,HAMPANG,KOTABARU,72163,63
LALAYAU,JUAI,BALANGAN,71665,63
LAMIDA BAWAH,PARINGIN,BALANGAN,71662,63
LAMPIHONG KANAN,LAMPIHONG,BALANGAN,71661,63
LAMPIHONG KIRI,LAMPIHONG,BALANGAN,71661,63
LAMPIHONG SELATAN,LAMPIHONG,BALANGAN,71661,63
LANDASAN ULIN BARAT,LIANG ANGGANG,BANJARBARU,70722,63
LANDASAN ULIN SELATAN,LIANG ANGGANG,BANJARBARU,70724,63
LANDASAN ULIN TENGAH,LIANG ANGGANG,BANJARBARU,70723,63
LANDASAN ULIN TIMUR,LANDASAN ULIN,BANJARBARU,70724,63
LANDASAN ULIN UTARA,LIANG ANGGANG,BANJARBARU,70724,63
